date,daily_rain
2017-01-01,0.01
2017-01-02,0.02
2017-01-03,0
2017-01-04,0.03
2017-01-05,0.04
2017-01-06,0.05
2017-01-07,0.02
2017-01-08,0.01
2017-01-09,0.01
2017-01-10,14.74
2017-01-11,0.02
2017-01-12,1.26
2017-01-13,0.31
2017-01-14,0.01
2017-01-15,0
2017-01-16,0.04
2017-01-17,0.05
2017-01-18,0.01
2017-01-19,0.01
2017-01-20,0.3
2017-01-21,0.42
2017-01-22,0.01
2017-01-23,1.28
2017-01-24,0.01
2017-01-25,0.61
2017-01-26,0
2017-01-27,0
2017-01-28,0.06
2017-01-29,0.07
2017-01-30,0.04
2017-01-31,0.59
2017-02-01,5.4
2017-02-02,0.05
2017-02-03,0.17
2017-02-04,0.16
2017-02-05,0.01
2017-02-06,3.5
2017-02-07,0.18
2017-02-08,0.26
2017-02-09,3.43
2017-02-10,0.07
2017-02-11,0
2017-02-12,10.26
2017-02-13,1.27
2017-02-14,2.01
2017-02-15,4.83
2017-02-16,1.13
2017-02-17,0
2017-02-18,0.01
2017-02-19,0
2017-02-20,0.02
2017-02-21,0.04
2017-02-22,0.02
2017-02-23,0.04
2017-02-24,0.05
2017-02-25,0.03
2017-02-26,0
2017-02-27,0.04
2017-02-28,0.73
2017-03-01,7.35
2017-03-02,0.07
2017-03-03,5.72
2017-03-04,2.68
2017-03-05,0.12
2017-03-06,0.83
2017-03-07,0.29
2017-03-08,0.03
2017-03-09,5.29
2017-03-10,1.04
2017-03-11,0.04
2017-03-12,0.06
2017-03-13,1.36
2017-03-14,4.22
2017-03-15,0.14
2017-03-16,0.02
2017-03-17,0.03
2017-03-18,0.93
2017-03-19,0.25
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0.01
2017-03-24,0.02
2017-03-25,10.73
2017-03-26,0.08
2017-03-27,0.39
2017-03-28,0.76
2017-03-29,1.21
2017-03-30,2.19
2017-03-31,4.13
2017-04-01,2.65
2017-04-02,1.45
2017-04-03,1.73
2017-04-04,0.13
2017-04-05,4.14
2017-04-06,0.04
2017-04-07,2.48
2017-04-08,3.16
2017-04-09,0
2017-04-10,0
2017-04-11,0.01
2017-04-12,0.42
2017-04-13,0
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,0.14
2017-04-18,0.5
2017-04-19,1.31
2017-04-20,5.83
2017-04-21,0.02
2017-04-22,8.44
2017-04-23,0.01
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0.3
2017-04-29,0.06
2017-04-30,0
2017-05-01,0.06
