file-timestamp,2023-07-08T19:28:07
station-id,33053
station-name,Granta at Stapleford
data-type-id,spi
data-type-name,Standardised Precipitation Index
reference-period,1961-2010
distribution,Gamma
month,spi-1,spi-3,spi-6,spi-9,spi-12,spi-18,spi-24
1891-01,-0.505,NA,NA,NA,NA,NA,NA
1891-02,-4.868,NA,NA,NA,NA,NA,NA
1891-03,0.166,-1.422,NA,NA,NA,NA,NA
1891-04,-0.398,-1.509,NA,NA,NA,NA,NA
1891-05,1.143,0.475,NA,NA,NA,NA,NA
1891-06,-0.232,0.214,-0.888,NA,NA,NA,NA
1891-07,2.043,1.51,0.557,NA,NA,NA,NA
1891-08,1.395,1.594,1.607,NA,NA,NA,NA
1891-09,-0.564,1.521,1.27,0.564,NA,NA,NA
1891-10,1.484,1.206,1.798,1.263,NA,NA,NA
1891-11,-0.113,0.571,1.409,1.419,NA,NA,NA
1891-12,1.031,1.472,1.899,1.725,1.269,NA,NA
1892-01,-1.361,-0.128,0.947,1.525,1.012,NA,NA
1892-02,0.758,0.348,0.582,1.383,1.385,NA,NA
1892-03,-0.942,-0.891,0.654,1.307,1.183,NA,NA
1892-04,-0.159,-0.353,-0.357,0.676,1.21,NA,NA
1892-05,-0.398,-0.909,-0.49,0.026,0.796,NA,NA
1892-06,1.112,0.366,-0.399,0.687,1.241,0.772,NA
1892-07,1.322,1.116,0.726,0.412,1.009,1.045,NA
1892-08,0.61,1.468,0.657,0.732,0.791,1.352,NA
1892-09,0.775,1.331,1.204,0.705,1.286,1.5,NA
1892-10,1.429,1.325,1.671,1.469,1.273,1.821,NA
1892-11,-0.591,0.983,1.624,1.06,1.171,1.577,NA
1892-12,-0.576,0.525,1.175,1.143,0.797,1.683,1.245
1893-01,-0.162,-0.952,0.699,1.104,0.9,1.168,1.158
1893-02,1.346,0.222,0.867,1.529,1.003,1.074,1.449
1893-03,-2.04,-0.16,0.235,0.896,0.877,1.046,1.257
1893-04,-2.37,-1.145,-1.42,0.193,0.626,0.362,1.152
1893-05,-0.719,-2.557,-1.499,-0.215,0.55,0.23,0.879
1893-06,-0.59,-2.237,-1.986,-0.827,0.063,-0.153,0.894
1893-07,1.882,0.306,-0.514,-1.045,0.241,0.471,0.836
1893-08,0.841,1.031,-0.533,-0.448,0.319,0.525,0.728
1893-09,-1.042,0.889,-0.533,-0.676,-0.251,0.436,0.694
1893-10,0.891,0.394,0.417,-0.085,-0.581,0.66,0.468
1893-11,0.49,0.207,0.759,-0.278,-0.261,0.843,0.569
1893-12,-0.881,0.41,0.799,-0.19,-0.322,0.491,0.28
1894-01,-0.246,-0.419,0.05,0.128,-0.299,0.17,0.373
1894-02,-0.112,-0.792,-0.336,0.304,-0.638,0.015,0.245
1894-03,-0.859,-0.857,-0.187,0.33,-0.494,-0.313,0.246
1894-04,-0.057,-0.828,-0.842,-0.311,-0.176,-0.927,0.268
1894-05,0.504,-0.23,-0.861,-0.486,0.107,-0.633,0.412
1894-06,0.116,0.098,-0.64,-0.177,0.278,-0.536,0.188
1894-07,1.145,0.756,0.107,-0.245,0.045,-0.213,0.148
1894-08,0.436,0.687,0.318,-0.281,-0.119,-0.371,0.102
1894-09,0.052,0.665,0.501,-0.011,0.155,-0.168,-0.082
1894-10,0.064,0.087,0.444,0.052,-0.215,0.079,-0.513
1894-11,1.416,0.583,0.808,0.55,0.143,0.521,-0.098
1894-12,-0.422,0.543,0.733,0.628,0.259,0.624,-0.066
1895-01,0.355,0.767,0.456,0.707,0.366,0.253,0.026
1895-02,-2.404,-0.872,-0.031,0.321,0.117,-0.151,-0.339
1895-03,0.064,-0.705,-0.014,0.323,0.264,0.078,-0.16
1895-04,-0.552,-1.509,-0.215,-0.145,0.176,-0.31,-0.032
1895-05,-0.547,-0.735,-1.324,-0.463,-0.061,-0.522,-0.009
1895-06,-0.797,-1.516,-1.959,-0.801,-0.293,-0.576,-0.056
1895-07,1.842,0.255,-0.761,-0.107,-0.061,-0.048,-0.064
1895-08,1.728,1.522,0.804,0.167,0.426,0.442,0.178
1895-09,-1.25,1.438,0.299,-0.146,0.134,0.318,0.167
1895-10,0.208,0.48,0.46,-0.157,0.19,0.347,-0.031
1895-11,0.764,-0.173,0.858,0.387,-0.065,0.421,0.021
1895-12,-0.313,0.235,1.08,0.306,-0.027,0.394,0.112
1896-01,-1.235,-0.345,0.165,0.199,-0.33,-0.005,0.008
1896-02,-1.339,-1.475,-1.013,0.16,-0.235,-0.253,-0.099
1896-03,1.4,-0.283,-0.042,0.77,0.117,0.048,0.21
1896-04,-0.886,-0.207,-0.431,0.018,0.072,-0.096,0.126
1896-05,-2.111,-0.483,-1.529,-1.197,-0.107,-0.771,-0.157
1896-06,0.359,-1.366,-1.479,-0.764,0.169,-0.633,-0.136
1896-07,-1.068,-1.311,-1.322,-1.279,-0.539,-0.814,-0.469
1896-08,0.016,-0.372,-0.784,-1.76,-1.343,-0.588,-0.606
1896-09,1.631,0.81,-0.21,-0.435,-0.249,-0.047,-0.095
1896-10,0.639,1.161,0.337,0.179,-0.061,0.199,0.063
1896-11,-1.465,0.835,0.386,0.05,-0.657,0.088,-0.47
1896-12,0.747,0.082,0.542,-0.155,-0.339,0.417,-0.256
1897-01,0.152,-0.34,0.805,0.09,-0.035,0.027,-0.247
1897-02,0.883,0.774,1.04,0.669,0.336,-0.33,0.04
1897-03,0.877,0.9,0.506,0.788,0.177,0.083,0.156
1897-04,0.007,0.83,0.227,0.99,0.339,0.049,0.232
1897-05,-0.387,0.088,0.534,0.876,0.531,-0.223,0.257
1897-06,0.322,-0.259,0.405,0.241,0.546,-0.103,0.453
1897-07,-2.2,-1.055,-0.309,-0.52,0.417,-0.186,-0.119
1897-08,0.867,-0.101,-0.128,0.311,0.692,0.163,-0.403
1897-09,0.778,0.258,-0.049,0.415,0.291,0.079,0.01
1897-10,-0.98,0.313,-0.385,-0.028,-0.254,0.007,-0.214
1897-11,-1.368,-0.632,-0.626,-0.561,-0.236,0.049,-0.58
1897-12,-0.569,-1.951,-0.988,-1.026,-0.62,-0.115,-0.621
1898-01,-1.1,-1.881,-0.715,-1.211,-0.802,-0.102,-0.529
1898-02,-1.045,-1.479,-1.429,-1.286,-1.154,-0.23,-0.492
1898-03,-0.091,-1.381,-2.177,-1.408,-1.38,-0.837,-0.729
1898-04,-0.181,-0.943,-1.952,-1.046,-1.393,-1.174,-0.649
1898-05,0.843,0.236,-0.881,-1.106,-0.956,-0.624,-0.282
1898-06,0.37,0.464,-0.605,-1.487,-1.007,-0.743,-0.325
1898-07,-0.584,0.312,-0.395,-1.443,-0.758,-0.808,-0.262
1898-08,-0.083,-0.248,-0.128,-1.096,-1.194,-0.985,-0.313
1898-09,-2.283,-1.614,-0.803,-1.589,-2.218,-1.536,-1.167
1898-10,0.191,-0.822,-0.514,-0.948,-1.806,-1.379,-1.263
1898-11,-0.259,-0.941,-0.948,-0.742,-1.522,-1.394,-1.091
1898-12,0.237,-0.102,-1.082,-0.69,-1.322,-1.525,-1.221
1899-01,-1.514,-0.846,-1.22,-0.897,-1.235,-1.363,-1.277
1899-02,-1.599,-1.252,-1.57,-1.493,-1.247,-1.852,-1.511
1899-03,-2.253,-3.139,-1.497,-2.031,-1.515,-2.461,-1.831
1899-04,-0.857,-2.941,-2.2,-2.153,-1.621,-2.593,-1.969
1899-05,0.047,-1.358,-2.082,-2.127,-1.807,-2.148,-1.912
1899-06,-0.682,-1.174,-3.352,-1.984,-2.291,-2.305,-2.335
1899-07,-2.016,-1.501,-3.293,-2.994,-2.501,-2.236,-2.264
1899-08,-2.433,-2.754,-3.33,-3.983,-3.306,-2.44,-3.03
1899-09,-1.059,-3.335,-3.156,-4.82,-3.369,-2.7,-3.649
1899-10,-1.073,-2.333,-2.796,-3.979,-3.995,-2.73,-3.547
1899-11,-1.336,-1.97,-3.37,-3.662,-4.394,-3.353,-3.54
1899-12,-2.096,-2.781,-4.022,-3.925,-5.0,-4.143,-3.844
1900-01,1.002,-1.128,-2.451,-2.929,-3.847,-3.489,-3.019
1900-02,1.972,0.788,-0.86,-2.128,-2.595,-3.001,-2.363
1900-03,-1.388,1.157,-0.851,-2.152,-2.424,-2.878,-2.464
1900-04,-0.845,0.148,-0.738,-1.966,-2.368,-3.432,-2.583
1900-05,-0.526,-1.548,-0.479,-1.573,-2.407,-3.308,-2.911
1900-06,0.452,-0.64,0.344,-1.144,-2.155,-3.356,-3.183
1900-07,-0.844,-0.561,-0.464,-1.105,-1.919,-2.984,-3.146
1900-08,0.184,-0.126,-1.267,-0.642,-1.53,-2.645,-3.291
1900-09,-1.756,-1.394,-1.539,-0.687,-1.797,-2.731,-3.35
1900-10,0.13,-0.631,-0.939,-0.862,-1.405,-2.341,-3.261
1900-11,-0.348,-0.939,-0.859,-1.559,-1.165,-2.498,-3.279
1900-12,0.296,-0.16,-1.007,-1.24,-0.673,-2.428,-3.348
1901-01,-2.116,-1.036,-1.174,-1.36,-1.242,-2.286,-3.024
1901-02,-1.076,-1.239,-1.56,-1.405,-2.004,-2.115,-2.861
1901-03,0.532,-1.316,-0.843,-1.4,-1.544,-1.792,-2.484
1901-04,0.68,0.155,-0.674,-0.973,-1.122,-1.491,-2.24
1901-05,-0.723,0.134,-0.834,-1.272,-1.098,-1.301,-2.392
1901-06,-0.114,-0.309,-1.346,-0.955,-1.375,-1.082,-2.523
1901-07,-0.602,-1.015,-0.817,-1.333,-1.299,-1.321,-2.302
1901-08,-0.486,-0.82,-0.648,-1.492,-1.647,-1.886,-2.224
1901-09,-0.682,-1.294,-1.222,-1.977,-1.574,-1.877,-2.226
1901-10,0.253,-0.562,-1.151,-1.048,-1.539,-1.533,-1.857
1901-11,-0.972,-0.762,-1.204,-1.012,-1.712,-1.657,-1.81
1901-12,0.511,-0.216,-0.993,-1.056,-1.682,-1.784,-1.466
1902-01,-2.236,-1.27,-1.244,-1.655,-1.502,-1.826,-1.717
1902-02,-0.429,-0.838,-1.188,-1.533,-1.338,-1.997,-2.083
1902-03,-0.792,-2.047,-1.205,-1.641,-1.598,-1.832,-1.986
1902-04,-0.669,-1.426,-1.816,-1.7,-1.934,-2.19,-1.982
1902-05,1.175,0.045,-0.66,-1.037,-1.24,-1.612,-1.638
1902-06,0.245,0.437,-1.007,-0.794,-1.205,-1.695,-1.869
