file-timestamp,2023-07-08T19:28:11
station-id,33066
station-name,Granta at Linton
data-type-id,spi
data-type-name,Standardised Precipitation Index
reference-period,1961-2010
distribution,Gamma
month,spi-1,spi-3,spi-6,spi-9,spi-12,spi-18,spi-24
1891-01,-0.427,NA,NA,NA,NA,NA,NA
1891-02,-4.452,NA,NA,NA,NA,NA,NA
1891-03,0.097,-1.416,NA,NA,NA,NA,NA
1891-04,-0.456,-1.64,NA,NA,NA,NA,NA
1891-05,1.118,0.4,NA,NA,NA,NA,NA
1891-06,-0.165,0.2,-0.937,NA,NA,NA,NA
1891-07,1.985,1.578,0.532,NA,NA,NA,NA
1891-08,1.444,1.661,1.618,NA,NA,NA,NA
1891-09,-0.576,1.539,1.306,0.582,NA,NA,NA
1891-10,1.52,1.257,1.845,1.284,NA,NA,NA
1891-11,-0.103,0.584,1.453,1.427,NA,NA,NA
1891-12,1.086,1.483,1.903,1.76,1.296,NA,NA
1892-01,-1.392,-0.11,0.966,1.55,1.019,NA,NA
1892-02,0.679,0.325,0.572,1.4,1.379,NA,NA
1892-03,-0.973,-0.988,0.638,1.296,1.19,NA,NA
1892-04,-0.234,-0.461,-0.39,0.676,1.213,NA,NA
1892-05,-0.432,-1.001,-0.528,0.016,0.821,NA,NA
1892-06,1.103,0.32,-0.539,0.655,1.23,0.761,NA
1892-07,1.302,1.15,0.678,0.36,1.008,1.039,NA
1892-08,0.619,1.459,0.631,0.678,0.771,1.359,NA
1892-09,0.739,1.293,1.165,0.604,1.235,1.509,NA
1892-10,1.395,1.282,1.631,1.388,1.174,1.815,NA
1892-11,-0.504,0.927,1.564,1.001,1.087,1.572,NA
1892-12,-0.58,0.472,1.105,1.075,0.686,1.645,1.21
1893-01,-0.174,-0.91,0.63,1.044,0.811,1.131,1.122
1893-02,1.294,0.191,0.789,1.445,0.932,1.019,1.422
1893-03,-2.091,-0.189,0.185,0.829,0.809,0.985,1.236
1893-04,-2.495,-1.191,-1.39,0.142,0.575,0.29,1.131
1893-05,-0.725,-2.65,-1.501,-0.256,0.509,0.177,0.874
1893-06,-0.606,-2.329,-2.018,-0.841,0.036,-0.227,0.877
1893-07,1.858,0.359,-0.495,-0.989,0.22,0.427,0.825
1893-08,0.764,1.009,-0.541,-0.453,0.266,0.478,0.682
1893-09,-0.963,0.881,-0.508,-0.66,-0.262,0.403,0.655
1893-10,0.859,0.359,0.415,-0.091,-0.571,0.627,0.409
1893-11,0.409,0.177,0.715,-0.301,-0.292,0.789,0.499
1893-12,-0.801,0.348,0.747,-0.2,-0.34,0.446,0.2
1894-01,-0.251,-0.433,0.001,0.105,-0.315,0.124,0.309
1894-02,-0.066,-0.732,-0.334,0.274,-0.642,-0.028,0.197
1894-03,-0.867,-0.839,-0.219,0.298,-0.497,-0.338,0.2
1894-04,-0.142,-0.889,-0.864,-0.357,-0.202,-0.916,0.218
1894-05,0.404,-0.362,-0.927,-0.544,0.047,-0.68,0.343
1894-06,0.138,0.0,-0.74,-0.255,0.219,-0.584,0.128
1894-07,1.177,0.778,0.08,-0.277,-0.005,-0.24,0.102
1894-08,0.434,0.733,0.289,-0.279,-0.144,-0.399,0.052
1894-09,0.017,0.672,0.461,-0.053,0.094,-0.202,-0.128
1894-10,0.117,0.1,0.45,0.046,-0.228,0.062,-0.516
1894-11,1.348,0.594,0.84,0.538,0.145,0.498,-0.118
1894-12,-0.403,0.569,0.749,0.614,0.247,0.593,-0.085
1895-01,0.346,0.745,0.455,0.706,0.359,0.221,0.011
1895-02,-2.297,-0.835,-0.012,0.354,0.109,-0.159,-0.354
1895-03,0.049,-0.704,0.015,0.343,0.252,0.051,-0.174
1895-04,-0.566,-1.553,-0.2,-0.125,0.181,-0.307,-0.046
1895-05,-0.722,-0.84,-1.364,-0.468,-0.046,-0.527,-0.043
1895-06,-0.872,-1.716,-2.081,-0.8,-0.287,-0.603,-0.097
1895-07,1.769,0.172,-0.875,-0.15,-0.084,-0.079,-0.112
1895-08,1.646,1.451,0.705,0.07,0.368,0.39,0.124
1895-09,-1.217,1.368,0.216,-0.233,0.094,0.271,0.104
1895-10,0.207,0.452,0.39,-0.23,0.13,0.313,-0.077
1895-11,0.764,-0.132,0.821,0.336,-0.111,0.414,-0.007
1895-12,-0.301,0.255,1.029,0.255,-0.079,0.377,0.074
1896-01,-1.26,-0.332,0.133,0.129,-0.388,-0.04,-0.033
1896-02,-1.31,-1.473,-0.971,0.11,-0.297,-0.288,-0.145
1896-03,1.412,-0.333,-0.048,0.713,0.057,0.017,0.166
1896-04,-0.942,-0.231,-0.43,-0.011,0.009,-0.141,0.089
1896-05,-2.199,-0.497,-1.55,-1.167,-0.14,-0.805,-0.171
1896-06,0.394,-1.402,-1.515,-0.74,0.15,-0.672,-0.147
1896-07,-0.857,-1.262,-1.279,-1.184,-0.518,-0.834,-0.468
1896-08,-0.003,-0.304,-0.718,-1.663,-1.278,-0.616,-0.604
1896-09,1.706,0.893,-0.097,-0.35,-0.172,-0.042,-0.07
1896-10,0.627,1.188,0.417,0.251,0.009,0.199,0.069
1896-11,-1.372,0.858,0.445,0.115,-0.592,0.1,-0.464
1896-12,0.75,0.069,0.585,-0.078,-0.278,0.434,-0.255
1897-01,0.113,-0.344,0.791,0.147,0.019,0.049,-0.253
1897-02,0.861,0.746,1.03,0.703,0.385,-0.276,0.033
1897-03,0.981,0.93,0.509,0.83,0.253,0.144,0.167
1897-04,-0.06,0.885,0.232,0.989,0.399,0.106,0.233
1897-05,-0.446,0.106,0.545,0.894,0.577,-0.176,0.269
1897-06,0.354,-0.302,0.432,0.245,0.592,-0.053,0.479
1897-07,-1.905,-1.05,-0.239,-0.457,0.461,-0.111,-0.069
