file-timestamp,2023-07-08T19:28:31
station-id,33053
station-name,Granta at Stapleford
data-type-id,ssi
data-type-name,Standardised Streamflow Index
reference-period,1961-2010
distribution,Tweedie
month,ssi-1,ssi-3,ssi-6,ssi-9,ssi-12,ssi-18,ssi-24
1949-03,-1.087,NA,NA,NA,NA,NA,NA
1949-04,-1.052,NA,NA,NA,NA,NA,NA
1949-05,-0.869,-1.107,NA,NA,NA,NA,NA
1949-06,-0.716,-1.003,NA,NA,NA,NA,NA
1949-07,-1.086,-0.93,NA,NA,NA,NA,NA
1949-08,-1.2,-0.995,-1.225,NA,NA,NA,NA
1949-09,-1.622,-1.324,-1.178,NA,NA,NA,NA
1949-10,-1.115,-1.492,-1.27,NA,NA,NA,NA
1949-11,-0.891,-1.192,-1.406,-1.481,NA,NA,NA
1949-12,-1.061,-1.078,-1.452,-1.548,NA,NA,NA
1950-01,-1.212,-1.271,-1.428,-1.575,NA,NA,NA
1950-02,0.262,-0.576,-0.736,-0.922,-1.317,NA,NA
1950-03,-1.27,-0.624,-0.836,-0.987,-1.24,NA,NA
1950-04,-1.114,-0.54,-0.947,-1.03,-1.212,NA,NA
1950-05,-0.289,-1.009,-0.912,-0.946,-1.075,NA,NA
1950-06,-0.783,-0.816,-0.776,-0.925,-1.037,NA,NA
1950-07,-0.268,-0.482,-0.595,-0.902,-0.973,NA,NA
1950-08,-0.36,-0.546,-1.023,-0.917,-0.942,-1.376,NA
1950-09,-0.403,-0.396,-0.784,-0.819,-0.911,-1.26,NA
1950-10,-0.54,-0.577,-0.672,-0.753,-0.951,-1.171,NA
1950-11,-0.175,-0.406,-0.604,-1.075,-0.965,-1.114,NA
1950-12,-0.323,-0.363,-0.491,-0.882,-1.051,-1.165,NA
1951-01,0.11,-0.158,-0.274,-0.523,-0.784,-1.025,NA
1951-02,1.204,0.464,0.232,0.083,-0.418,-0.682,-1.074
1951-03,0.909,0.793,0.397,0.29,-0.025,-0.503,-0.829
1951-04,1.804,1.345,0.661,0.519,0.332,-0.281,-0.566
1951-05,1.458,1.435,0.901,0.658,0.528,-0.135,-0.327
1951-06,NA,NA,NA,NA,NA,NA,NA
1951-07,0.657,NA,NA,NA,NA,NA,NA
1951-08,0.507,NA,NA,NA,NA,NA,NA
1951-09,0.634,0.589,NA,NA,NA,NA,NA
1951-10,-0.04,0.254,NA,NA,NA,NA,NA
1951-11,0.903,0.583,NA,NA,NA,NA,NA
1951-12,0.041,0.37,0.427,NA,NA,NA,NA
1952-01,0.196,0.349,0.33,NA,NA,NA,NA
1952-02,0.112,0.065,0.247,NA,NA,NA,NA
1952-03,0.674,0.292,0.312,0.335,NA,NA,NA
1952-04,0.946,0.532,0.391,0.374,NA,NA,NA
1952-05,0.438,0.72,0.292,0.369,NA,NA,NA
1952-06,0.393,0.65,0.4,0.357,0.371,NA,NA
1952-07,0.236,0.365,0.472,0.37,0.357,NA,NA
1952-08,-0.602,0.094,0.497,0.227,0.306,NA,NA
1952-09,-0.862,-0.365,0.335,0.259,0.266,NA,NA
1952-10,-0.593,-0.815,-0.14,0.203,0.239,NA,NA
1952-11,-0.203,-0.506,-0.327,0.159,0.076,NA,NA
1952-12,0.652,0.09,-0.083,0.131,0.104,0.19,NA
1953-01,-0.297,-0.009,-0.19,-0.172,0.017,0.103,NA
1953-02,0.259,0.127,-0.052,-0.074,0.077,0.086,NA
1953-03,-0.582,-0.212,-0.123,-0.205,-0.08,0.003,NA
1953-04,-0.543,-0.244,-0.215,-0.308,-0.284,-0.059,NA
1953-05,-0.488,-0.611,-0.272,-0.314,-0.331,-0.21,NA
1953-06,-0.533,-0.603,-0.412,-0.312,-0.37,-0.227,-0.126
1953-07,-0.897,-0.642,-0.42,-0.323,-0.393,-0.258,-0.157
1953-08,-0.674,-0.725,-0.782,-0.379,-0.398,-0.27,-0.203
1953-09,-0.817,-0.887,-0.77,-0.545,-0.393,-0.363,-0.235
1953-10,-0.667,-0.869,-0.895,-0.636,-0.438,-0.469,-0.283
1953-11,0.074,-0.326,-0.621,-0.855,-0.459,-0.495,-0.371
1953-12,-1.457,-0.65,-0.899,-1.039,-0.892,-0.693,-0.524
1954-01,-0.934,-0.858,-0.931,-1.113,-1.0,-0.791,-0.604
1954-02,-0.678,-1.114,-0.893,-1.026,-1.199,-0.845,-0.679
1954-03,-0.723,-0.896,-0.887,-0.994,-1.125,-0.862,-0.818
1954-04,-0.978,-0.885,-0.996,-1.026,-1.151,-0.932,-0.988
1954-05,-0.764,-0.892,-1.186,-1.011,-1.105,-1.004,-0.972
1954-06,-0.329,-0.831,-0.965,-0.966,-1.047,-1.145,-0.997
1954-07,-0.315,-0.576,-0.867,-0.963,-0.991,-1.143,-1.004
1954-08,0.57,-0.035,-0.753,-1.041,-0.91,-1.197,-0.981
1954-09,-0.024,0.104,-0.594,-0.891,-0.874,-1.122,-0.969
1954-10,-0.302,-0.014,-0.448,-0.858,-0.911,-1.062,-1.01
1954-11,0.565,0.196,0.065,-0.597,-0.9,-0.921,-0.956
1954-12,0.585,0.379,0.29,-0.266,-0.776,-0.847,-1.079
1955-01,0.533,0.542,0.415,0.095,-0.441,-0.661,-0.915
1955-02,-0.125,0.281,0.255,0.182,-0.295,-0.649,-0.935
1955-03,-0.155,0.092,0.193,0.153,-0.16,-0.621,-0.874
1955-04,-0.451,-0.279,0.09,0.065,-0.119,-0.654,-0.873
1955-05,-0.262,-0.326,-0.052,0.007,-0.048,-0.719,-0.773
1955-06,-0.114,-0.377,-0.116,-0.001,-0.023,-0.642,-0.75
1955-07,-0.273,-0.264,-0.336,0.001,-0.012,-0.541,-0.73
1955-08,-0.41,-0.269,-0.435,-0.128,-0.061,-0.447,-0.741
1955-09,-0.023,-0.285,-0.432,-0.207,-0.058,-0.349,-0.729
1955-10,-0.243,-0.33,-0.421,-0.472,-0.078,-0.236,-0.761
1955-11,-0.533,-0.43,-0.483,-0.612,-0.245,-0.219,-0.817
1955-12,-0.963,-0.704,-0.733,-0.821,-0.579,-0.335,-0.897
1956-01,0.302,-0.289,-0.324,-0.499,-0.64,-0.269,-0.709
1956-02,-0.327,-0.281,-0.344,-0.417,-0.636,-0.35,-0.646
1956-03,-0.522,-0.19,-0.408,-0.463,-0.618,-0.391,-0.625
1956-04,-0.646,-0.558,-0.53,-0.535,-0.627,-0.45,-0.617
1956-05,-0.734,-0.681,-0.584,-0.555,-0.612,-0.588,-0.535
1956-06,-0.645,-0.759,-0.444,-0.579,-0.615,-0.696,-0.538
1956-07,-0.237,-0.652,-0.659,-0.594,-0.591,-0.814,-0.53
1956-08,0.106,-0.317,-0.713,-0.598,-0.568,-0.789,-0.562
1956-09,0.293,0.03,-0.58,-0.455,-0.548,-0.747,-0.556
1956-10,-0.11,-0.013,-0.489,-0.683,-0.587,-0.67,-0.589
