file-timestamp,2023-07-08T19:28:33
station-id,33066
station-name,Granta at Linton
data-type-id,ssi
data-type-name,Standardised Streamflow Index
reference-period,1961-2010
distribution,Tweedie
month,ssi-1,ssi-3,ssi-6,ssi-9,ssi-12,ssi-18,ssi-24
1981-12,0.543,NA,NA,NA,NA,NA,NA
1982-01,0.497,NA,NA,NA,NA,NA,NA
1982-02,-0.545,0.138,NA,NA,NA,NA,NA
1982-03,0.019,-0.005,NA,NA,NA,NA,NA
1982-04,-0.328,-0.584,NA,NA,NA,NA,NA
1982-05,-0.237,-0.382,-0.105,NA,NA,NA,NA
1982-06,0.002,-0.306,-0.238,NA,NA,NA,NA
1982-07,0.009,-0.11,-0.504,NA,NA,NA,NA
1982-08,-0.233,-0.007,-0.303,-0.159,NA,NA,NA
1982-09,-0.609,-0.333,-0.373,-0.387,NA,NA,NA
1982-10,1.325,1.147,0.577,-0.206,NA,NA,NA
1982-11,1.098,1.159,0.897,0.402,0.21,NA,NA
1982-12,0.96,1.1,0.94,0.676,0.283,NA,NA
1983-01,-0.314,0.603,0.651,0.487,0.153,NA,NA
1983-02,0.576,0.365,0.676,0.527,0.333,NA,NA
1983-03,-0.002,0.031,0.618,0.482,0.364,NA,NA
1983-04,2.023,1.062,0.794,0.752,0.646,NA,NA
1983-05,2.03,1.661,0.916,0.946,0.814,0.531,NA
1983-06,1.525,2.062,0.936,1.017,0.897,0.592,NA
1983-07,1.208,1.695,1.397,1.019,0.949,0.627,NA
1983-08,0.613,1.188,1.495,1.042,1.007,0.73,NA
1983-09,0.526,0.877,1.63,0.927,1.03,0.786,NA
1983-10,-0.235,0.379,1.044,1.041,0.853,0.727,NA
1983-11,-0.837,-0.476,0.286,0.838,0.642,0.646,0.392
1983-12,-1.245,-1.103,-0.555,0.686,0.311,0.54,0.292
1984-01,0.154,-0.513,-0.402,0.125,0.465,0.479,0.288
1984-02,0.446,-0.158,-0.27,-0.096,0.402,0.51,0.314
1984-03,-0.026,0.166,-0.313,-0.249,0.426,0.476,0.312
1984-04,-0.184,-0.004,-0.355,-0.346,0.011,0.375,0.322
1984-05,0.524,-0.138,-0.233,-0.312,-0.15,0.277,0.345
1984-06,0.54,0.182,0.056,-0.289,-0.256,0.186,0.368
1984-07,NA,NA,NA,NA,NA,NA,NA
1984-08,NA,NA,NA,NA,NA,NA,NA
1984-09,NA,NA,NA,NA,NA,NA,NA
1984-10,NA,NA,NA,NA,NA,NA,NA
1984-11,NA,NA,NA,NA,NA,NA,NA
1984-12,NA,NA,NA,NA,NA,NA,NA
1985-01,NA,NA,NA,NA,NA,NA,NA
1985-02,NA,NA,NA,NA,NA,NA,NA
1985-03,NA,NA,NA,NA,NA,NA,NA
1985-04,NA,NA,NA,NA,NA,NA,NA
1985-05,NA,NA,NA,NA,NA,NA,NA
1985-06,NA,NA,NA,NA,NA,NA,NA
1985-07,NA,NA,NA,NA,NA,NA,NA
1985-08,NA,NA,NA,NA,NA,NA,NA
1985-09,0.194,NA,NA,NA,NA,NA,NA
1985-10,-0.572,NA,NA,NA,NA,NA,NA
1985-11,-1.182,-0.869,NA,NA,NA,NA,NA
1985-12,-0.621,-0.833,NA,NA,NA,NA,NA
1986-01,-0.011,-0.506,NA,NA,NA,NA,NA
1986-02,-0.553,-0.559,-0.613,NA,NA,NA,NA
1986-03,-0.367,-0.392,-0.66,NA,NA,NA,NA
1986-04,0.825,-0.268,-0.483,NA,NA,NA,NA
1986-05,0.359,0.164,-0.376,-0.457,NA,NA,NA
1986-06,0.148,0.55,-0.215,-0.447,NA,NA,NA
1986-07,0.195,0.264,-0.156,-0.376,NA,NA,NA
1986-08,-0.003,0.188,0.141,-0.378,-0.394,NA,NA
1986-09,-0.282,-0.018,0.427,-0.339,-0.427,NA,NA
1986-10,-0.094,-0.182,-0.003,-0.339,-0.463,NA,NA
1986-11,0.518,0.356,0.12,-0.013,-0.404,NA,NA
1986-12,0.438,0.333,0.191,0.235,-0.292,NA,NA
1987-01,-0.214,0.124,0.03,-0.061,-0.232,NA,NA
1987-02,-0.627,-0.301,-0.164,-0.25,-0.241,-0.551,NA
1987-03,0.187,-0.365,-0.155,-0.221,-0.098,-0.525,NA
1987-04,1.014,-0.008,0.009,-0.083,-0.124,-0.385,NA
1987-05,0.218,0.467,-0.076,-0.049,-0.105,-0.331,NA
1987-06,2.376,1.332,0.222,0.192,0.103,-0.113,NA
1987-07,2.307,1.688,0.717,0.409,0.274,0.082,NA
1987-08,2.717,2.264,1.656,0.809,0.592,0.43,0.019
1987-09,2.692,2.335,1.904,1.024,0.724,0.629,0.116
1987-10,1.854,2.059,2.004,1.749,1.128,0.869,0.401
1987-11,1.4,1.77,2.03,2.052,1.526,1.032,0.662
1987-12,0.439,1.498,1.858,2.034,1.656,1.049,0.805
1988-01,1.776,1.459,1.824,2.02,1.935,1.222,1.064
1988-02,0.534,1.237,1.639,1.948,1.977,1.288,1.098
1988-03,1.436,1.462,1.638,1.865,1.936,1.339,1.206
1988-04,0.589,0.88,1.324,1.747,1.891,1.42,1.19
1988-05,0.779,1.043,1.229,1.598,1.836,1.524,1.187
1988-06,0.819,0.704,1.33,1.49,1.766,1.635,1.211
1988-07,1.315,0.947,0.921,1.28,1.688,1.715,1.223
1988-08,0.605,0.949,0.998,1.269,1.546,1.788,1.293
1988-09,0.551,0.92,0.784,1.334,1.484,1.807,1.309
1988-10,0.06,0.471,0.63,0.663,1.101,1.645,1.275
1988-11,-0.496,-0.208,0.184,0.476,0.857,1.564,1.289
1988-12,-0.976,-0.747,-0.362,-0.051,0.706,1.376,1.286
1989-01,-0.61,-0.891,-0.664,-0.384,0.039,1.117,1.171
1989-02,-0.314,-0.863,-0.728,-0.535,-0.149,0.898,1.137
1989-03,0.573,-0.295,-0.571,-0.458,-0.246,0.791,1.143
1989-04,0.966,0.241,-0.394,-0.366,-0.239,0.566,1.14
1989-05,0.071,0.588,-0.353,-0.37,-0.265,0.379,1.118
1989-06,-0.193,0.511,-0.164,-0.395,-0.343,0.353,1.011
1989-07,-0.156,-0.074,0.128,-0.357,-0.342,0.022,0.942
1989-08,-0.251,-0.173,0.368,-0.405,-0.352,-0.045,0.819
1989-09,-0.739,-0.483,0.328,-0.326,-0.404,-0.208,0.733
1989-10,-1.87,-1.613,-0.54,-0.155,-0.489,-0.353,0.37
1989-11,-1.922,-2.13,-1.357,-0.224,-0.675,-0.531,0.087
1989-12,-0.319,-0.749,-0.878,-0.413,-0.687,-0.619,0.029
1990-01,-0.6,-0.777,-0.837,-0.871,-0.562,-0.731,-0.336
1990-02,0.782,-0.118,-0.346,-0.463,-0.268,-0.611,-0.338
1990-03,-0.674,-0.107,-0.441,-0.512,-0.35,-0.653,-0.509
1990-04,-0.517,-0.027,-0.492,-0.566,-0.622,-0.657,-0.574
1990-05,-0.581,-0.886,-0.453,-0.568,-0.62,-0.672,-0.613
